Deform_axial_(%),Delta_U_(kPa),Sigma_d_(kPa),Sigma_3_(kPa),Sigma_1_(kPa),Sigma'_1_(kPa),Sigma3'_(kPa),Sigma'_1/Sigma'_3,t,s,s',q,p,p'
0.0,0.0,0.0,500,500.0,500.0,500.0,1.0,0.0,500.0,500.0,0.0,500.0,500.0
0.24,7.3,181.292,500,681.292,673.9920000000001,492.7,1.37,90.64600000000002,590.646,583.346,181.292,560.4306666666666,553.1306666666667
0.8,57.4,290.01,500,790.01,732.61,442.6,1.66,145.005,645.005,587.605,290.01,596.67,539.27
1.92,156.9,422.341,500,922.341,765.441,343.1,2.23,211.1705,711.1705,554.2705000000001,422.341,640.7803333333333,483.88033333333334
3.05,235.0,486.446,500,986.446,751.446,265.0,2.84,243.223,743.223,508.223,486.446,662.1486666666666,427.14866666666666
4.17,314.3,514.885,500,1014.885,700.585,185.7,3.77,257.4425,757.4425,443.14250000000004,514.885,671.6283333333333,357.3283333333334
5.59,342.1,529.663,500,1029.663,687.563,157.89999999999998,4.35,264.8315,764.8315,422.7315,529.663,676.5543333333334,334.4543333333333
6.43,340.5,535.995,500,1035.995,695.4949999999999,159.5,4.36,267.99749999999995,767.9975,427.49749999999995,535.995,678.665,338.16499999999996
7.5600000000000005,340.3,540.501,500,1040.501,700.201,159.7,4.38,270.2505,770.2505,429.95050000000003,540.501,680.167,339.867
8.4,339.5,546.416,500,1046.4160000000002,706.9160000000002,160.5,4.4,273.2080000000001,773.2080000000001,433.7080000000001,546.416,682.1386666666667,342.6386666666667
9.54,339.2,550.342,500,1050.342,711.142,160.8,4.42,275.17100000000005,775.171,435.971,550.342,683.4473333333334,344.2473333333334
10.67,338.4,554.073,500,1054.0729999999999,715.6729999999999,161.60000000000002,4.43,277.03649999999993,777.0364999999999,438.63649999999996,554.073,684.6909999999999,346.291
11.52,338.1,559.319,500,1059.319,721.2189999999999,161.89999999999998,4.45,279.6595,779.6595,441.55949999999996,559.319,686.4396666666667,348.3396666666666
12.93,337.5,564.134,500,1064.134,726.634,162.5,4.47,282.067,782.067,444.567,564.134,688.0446666666667,350.54466666666667
14.06,336.0,567.024,500,1067.024,731.0239999999999,164.0,4.46,283.51199999999994,783.512,447.51199999999994,567.024,689.0079999999999,353.008
16.6,335.8,573.297,500,1073.297,737.4970000000001,164.2,4.49,286.6485,786.6485,450.84850000000006,573.297,691.099,355.299
18.29,333.4,577.806,500,1077.806,744.4060000000001,166.60000000000002,4.47,288.903,788.903,455.50300000000004,577.806,692.602,359.20200000000006
19.7,330.7,577.344,500,1077.344,746.644,169.3,4.41,288.672,788.672,457.972,577.344,692.448,361.74800000000005
21.68,330.4,572.426,500,1072.426,742.026,169.60000000000002,4.38,286.21299999999997,786.213,455.813,572.426,690.8086666666667,360.4086666666667
23.65,329.7,561.03,500,1061.03,731.3299999999999,170.3,4.29,280.515,780.515,450.81499999999994,561.03,687.0099999999999,357.30999999999995
