Deform_axial_(%),Delta_U_(kPa),Sigma_d_(kPa),Sigma_3_(kPa),Sigma_1_(kPa),Sigma'_1_(kPa),Sigma3'_(kPa),Sigma'_1/Sigma'_3,t,s,s',q,p,p'
0.0,0.0,0.0,50,50.0,50.0,50.0,1.0,0.0,50.0,50.0,0.0,50.0,50.0
0.216,2.2,52.918,50,102.918,100.718,47.8,2.11,26.459000000000003,76.459,74.259,52.918,67.63933333333334,65.43933333333332
0.675,11.2,68.576,50,118.576,107.37599999999999,38.8,2.77,34.288,84.288,73.088,68.576,72.85866666666666,61.65866666666667
1.6,23.7,95.506,50,145.506,121.806,26.3,4.63,47.753,97.753,74.053,95.506,81.83533333333334,58.135333333333335
2.529,28.9,109.234,50,159.23399999999998,130.33399999999997,21.1,6.18,54.61699999999999,104.61699999999999,75.71699999999998,109.234,86.41133333333333,57.51133333333333
3.457,31.8,120.752,50,170.752,138.952,18.2,7.63,60.376000000000005,110.376,78.576,120.752,90.25066666666667,58.45066666666667
4.621,33.1,132.657,50,182.657,149.55700000000002,16.9,8.85,66.3285,116.3285,83.22850000000001,132.657,94.21900000000001,61.11900000000001
5.319999999999999,34.3,136.422,50,186.422,152.122,15.700000000000003,9.69,68.211,118.211,83.911,136.422,95.474,61.17400000000001
6.247,32.8,143.53,50,193.53,160.73000000000002,17.200000000000003,9.34,71.765,121.765,88.965,143.53,97.84333333333332,65.04333333333334
6.948,32.3,145.249,50,195.249,162.949,17.700000000000003,9.21,72.6245,122.6245,90.3245,145.249,98.41633333333334,66.11633333333334
7.8759999999999994,32.0,145.644,50,195.644,163.644,18.0,9.09,72.822,122.822,90.822,145.644,98.548,66.548
8.807,31.3,146.91,50,196.91,165.60999999999999,18.7,8.86,73.455,123.455,92.15499999999999,146.91,98.96999999999998,67.67
9.508,30.2,147.592,50,197.592,167.39200000000002,19.8,8.45,73.796,123.796,93.59600000000002,147.592,99.19733333333333,68.99733333333334
10.667,26.4,148.383,50,198.383,171.983,23.6,7.29,74.1915,124.1915,97.7915,148.383,99.46100000000001,73.06099999999999
11.600000000000001,23.8,149.487,50,199.487,175.68699999999998,26.2,6.71,74.7435,124.7435,100.94349999999999,149.487,99.829,76.029
13.696,16.8,149.397,50,199.397,182.59699999999998,33.2,5.5,74.6985,124.6985,107.89849999999998,149.397,99.79899999999999,82.999
15.099000000000002,13.7,150.366,50,200.366,186.66600000000003,36.3,5.14,75.183,125.183,111.483,150.366,100.122,86.42200000000001
16.259,11.1,150.825,50,200.825,189.725,38.9,4.88,75.4125,125.4125,114.3125,150.825,100.27499999999999,89.175
17.888,6.3,151.999,50,201.999,195.69899999999998,43.7,4.48,75.9995,125.9995,119.6995,151.999,100.66633333333334,94.36633333333333
20.285,3.2,150.754,50,200.754,197.554,46.8,4.22,75.377,125.377,122.17699999999999,150.754,100.25133333333333,97.05133333333333
