Deform_axial;Delta_U_(kPa);Sigma_d_(kPa);Sigma_3_(kPa)
0.0000;0.000;0.000;100
0.0018;4.100;58.995;100
0.0062;8.500;78.613;100
0.0152;16.600;121.784;100
0.0242;28.000;145.505;100
0.0333;39.100;164.367;100
0.0447;53.800;179.797;100
0.0516;59.900;185.397;100
0.0608;66.200;192.138;100
0.0676;68.700;195.835;100
0.0768;70.100;200.633;100
0.0859;69.700;199.485;100
0.0927;68.000;201.292;100
0.1041;67.100;202.012;100
0.1133;65.600;203.182;100
0.1338;61.800;203.995;100
0.1474;58.400;206.976;100
0.1589;55.100;212.608;100
0.1749;50.200;218.328;100
0.1983;47.800;222.333;100
