Deform_axial;Delta_U_(kPa);Sigma_d_(kPa);Sigma_3_(kPa)
0.0000;0.000;0.000;500
0.0024;7.300;181.292;500
0.0080;57.400;290.010;500
0.0192;156.900;422.341;500
0.0305;235.000;486.446;500
0.0417;314.300;514.885;500
0.0559;342.100;529.663;500
0.0643;340.500;535.995;500
0.0756;340.300;540.501;500
0.0840;339.500;546.416;500
0.0954;339.200;550.342;500
0.1067;338.400;554.073;500
0.1152;338.100;559.319;500
0.1293;337.500;564.134;500
0.1406;336.000;567.024;500
0.1660;335.800;573.297;500
0.1829;333.400;577.806;500
0.1970;330.700;577.344;500
0.2168;330.400;572.426;500
0.2365;329.700;561.030;500
