Deform_axial_(%),Delta_U_(kPa),Sigma_d_(kPa),Sigma_3_(kPa),Sigma_1_(kPa),Sigma'_1_(kPa),Sigma3'_(kPa),Sigma'_1/Sigma'_3,t,s,s',q,p,p'
0.0,0.0,0.0,250,250.0,250.0,250.0,1.0,0.0,250.0,250.0,0.0,250.0,250.0
0.19,8.2,116.078,250,366.078,357.878,241.8,1.48,58.03899999999999,308.039,299.839,116.078,288.69266666666664,280.4926666666667
0.59,23.6,209.725,250,459.725,436.125,226.4,1.93,104.86250000000001,354.8625,331.2625,209.725,319.90833333333336,296.30833333333334
1.48,62.5,294.047,250,544.047,481.547,187.5,2.57,147.0235,397.0235,334.5235,294.047,348.0156666666667,285.5156666666667
2.44,104.9,312.254,250,562.254,457.35400000000004,145.1,3.15,156.127,406.127,301.22700000000003,312.254,354.08466666666664,249.1846666666667
3.4299999999999997,139.3,321.002,250,571.002,431.70199999999994,110.69999999999999,3.9,160.50099999999998,410.501,271.20099999999996,321.002,357.00066666666663,217.70066666666662
4.6899999999999995,174.9,323.7,250,573.7,398.80000000000007,75.1,5.31,161.85000000000002,411.85,236.95000000000005,323.7,357.90000000000003,183.0
5.45,182.2,315.276,250,565.2760000000001,383.0760000000001,67.80000000000001,5.65,157.63800000000003,407.63800000000003,225.43800000000005,315.276,355.09200000000004,172.89200000000005
6.460000000000001,187.7,311.909,250,561.909,374.209,62.30000000000001,6.01,155.9545,405.9545,218.2545,311.909,353.9696666666667,166.26966666666667
7.22,190.5,309.387,250,559.387,368.88699999999994,59.5,6.2,154.69349999999997,404.6935,214.19349999999997,309.387,353.12899999999996,162.629
8.219999999999999,194.1,305.09,250,555.0899999999999,360.9899999999999,55.900000000000006,6.46,152.54499999999996,402.54499999999996,208.44499999999994,305.09,351.69666666666666,157.59666666666664
9.22,195.5,300.832,250,550.832,355.332,54.5,6.52,150.416,400.416,204.916,300.832,350.2773333333333,154.77733333333333
9.969999999999999,196.6,297.41,250,547.4100000000001,350.81000000000006,53.400000000000006,6.57,148.70500000000004,398.70500000000004,202.10500000000002,297.41,349.1366666666667,152.5366666666667
11.23,195.9,292.341,250,542.341,346.44100000000003,54.099999999999994,6.4,146.1705,396.1705,200.27050000000003,292.341,347.44699999999995,151.547
12.23,195.2,289.049,250,539.049,343.849,54.80000000000001,6.27,144.5245,394.5245,199.3245,289.049,346.3496666666667,151.14966666666666
14.49,193.0,279.847,250,529.847,336.847,57.0,5.91,139.9235,389.9235,196.9235,279.847,343.2823333333333,150.28233333333333
15.989999999999998,190.8,274.934,250,524.934,334.13399999999996,59.19999999999999,5.64,137.46699999999998,387.467,196.66699999999997,274.934,341.64466666666664,150.84466666666665
17.24,189.2,275.961,250,525.961,336.761,60.80000000000001,5.54,137.9805,387.9805,198.78050000000002,275.961,341.987,152.787
18.990000000000002,188.0,273.46,250,523.46,335.46000000000004,62.0,5.41,136.73000000000002,386.73,198.73000000000002,273.46,341.15333333333336,153.15333333333334
21.61,187.8,262.184,250,512.184,324.38399999999996,62.19999999999999,5.22,131.09199999999998,381.092,193.29199999999997,262.184,337.39466666666664,149.59466666666665
