Deform_axial;Delta_U_(kPa);Sigma_d_(kPa);Sigma_3_(kPa)
0;0;0;250
0.0019;8.2;116.078;250
0.0059;23.6;209.725;250
0.0148;62.5;294.047;250
0.0244;104.9;312.254;250
0.0343;139.3;321.002;250
0.0469;174.9;323.7;250
0.0545;182.2;315.276;250
0.0646;187.7;311.909;250
0.0722;190.5;309.387;250
0.0822;194.1;305.09;250
0.0922;195.5;300.832;250
0.0997;196.6;297.41;250
0.1123;195.9;292.341;250
0.1223;195.2;289.049;250
0.1449;193;279.847;250
0.1599;190.8;274.934;250
0.1724;189.2;275.961;250
0.1899;188;273.46;250
0.2161;187.8;262.184;250
